"Leisner Walter";;;"Verfassungsrechtliche Grenzen der Erbschaftsbesteuerung";;;;;126;Druckerzeugnis;;Haupt-Bibliothek;"JD 108";Berlin;"Duncker & Humblot";1970;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0996461;0125490;;
"Koellreuter Christoph";;;"Zur Theorie der internationalen Steuerinzidenz Ein neoklassischer und ein postkeynesianischer Beitrag";;;;3.7255.1500.X;201;Druckerzeugnis;"Basler Dissertation";Haupt-Bibliothek;"CE 120";Zürich;Schulthess;1973;YL7;YL8;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder";"hsg duplicate";0996463;0362607;;
"Leipold Helmut";;;"Wirtschafts- und Gesellschaftssysteme im Vergleich";;;;3.437.40112.2;253;Druckerzeugnis;"Grundzüge einer Theorie der Wirtschaftssysteme- 3. A.";Haupt-Bibliothek;"AA 296";Stuttgart;"Gustav Fischer";1981;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;"hsg duplicate";0996464;0003981;;
"Rasmussen David W.";;;"Urban Economics";;;;06.045332.X;186;Druckerzeugnis;;Haupt-Bibliothek;"AJ 223";"New York";"Harper & Row, Publishers";1973;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0996467;0324655;;
"Dumas Lloyd Jeffry";;;"The Overburdened Economy";;;;0.520.05686.8;260;Druckerzeugnis;"Uncovering the Causes of Chronic Unemployment, Inflation and National Decline";Haupt-Bibliothek;"AK 1153";Berkeley;"University of California Press";1986;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0996476;0337210;;
"Blanpain R.";;;"The OECD Guidelines for Multinational Enterprises and Labour Relations 1976-1979";"Experience and Review";;;"90 312 0108 1";306;Druckerzeugnis;;Haupt-Bibliothek;"KA 322";Deventer;Kluwer;1979;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;"hsg duplicate";0996477;0684387;;
"Sturzenegger Federico";"Zettelmeyer Jeromin";;"Debt Defaults and Lessons from a Decade of Crises";;;;978-0-262-19553-9;385;Druckerzeugnis;;"HB Steuerrecht";"YL7 005";Cambridge;"M.I.T. Press";2007;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996478;0467762;;
"Stegmüller Wolfgang";;;"Teleologie-Funktionalanalyse und Selbstregulation";;;;;518-623;Druckerzeugnis;;Haupt-Bibliothek;"WD 118";Berlin;Springer;1969;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0996482;0245232;;
"Leblanc Hugh L.";"Allensworth Trudeau";;"The Politics of States and Urban Communities";;;;"SBN 06.043885.1";450;Druckerzeugnis;;Haupt-Bibliothek;"AC 162";"New York";"Harper & Row";1971;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0996489;0129707;;
"Kirchhoff Gerd";;;"Subventionen als Instrument der Lenkung und Koordinierung";;;;3.428.02884.8;299;Druckerzeugnis;;Haupt-Bibliothek;"BC 220";Berlin;"Duncker & Humblot";1973;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0996492;0362501;;
