"ï»¿Flick Hans";"Wassermeyer Franz";"Baumhoff Hubertus";Aussensteuerrecht;"Bd. III";0;0;3-504-26041-6;;Loseblattwerk;Kommentar;"HB Steuerrecht";"KB 308 3";KÃ¶ln;"Otto Schmidt";2017;KB;0;0;"AuslÃ¤ndisches Steuerrecht";Deutschland;0;iff_doc_missing;"CSV line 1";155189379;0;0
"Helbling Carl";0;0;"Bilanz- und Erfolgsanalyse";0;0;0;3-258-05626-9;559;Druckerzeugnis;"Lehrbuch und Nachschlagewerk für die Praxis mit besonderer Berücksichtigung der Darstellung im Jahresabschluss- und Revisionsbericht";"HB Steuerrecht";"PE 1011 2";Bern;"Paul Haupt";1997;PE;0;0;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;bestcase;0149878
"Schmidt Hans-Jürgen";0;0;"Betriebswirtschaftslehre für die Verwaltung";0;0;0;3-7685-1481-1;341;Druckerzeugnis;0;Haupt-Bibliothek;"EA 190";Heidelberg;R.v.Decker;1982;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;HSB01duplicate;0991155;0184257;0;0
IFSt;0;0;"IFSt-Schrift 357";0;0;0;-;101;Druckerzeugnis;"Bedeutung und Reichweite der richtlinienkonformen Auslegung nationalen Rechts";Haupt-Bibliothek;"Z 153 357";Bonn;IFSt;1997;Z;0;0;Zeitschriften;0;0;journal
"Badenhoop Reinhard K. J.";0;0;"Bibliographie zur Organisation von Staat-Verwaltung-Wirtschaft";"Bd. 1";0;0;0;766;Druckerzeugnis;0;Haupt-Bibliothek;"EA 108 1";Köln;"Grote'sche Verlagsbuchhandlung";1966;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;HSB01duplicate;0991165;0324695;0;0
"Bray Jeremy";0;0;"Decision in Government";0;0;0;0;311;Druckerzeugnis;0;Haupt-Bibliothek;"AD 115";London;"Victor Gollancz Ltd";1970;YL1;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;HSB01duplicate;0991173;0292663;0;0
"Palmer John L.";0;0;"Creating Jobs Public Employment Programs and Wage Subsidies";0;0;0;0.8157.6892.3;370;Druckerzeugnis;0;Haupt-Bibliothek;"AG 323";Washington;"Brookings Institution";1978;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;HSB01duplicate;0991181;0345359;0;0
"Brauchli Werner";0;0;"Das Phänomen der Stagflation Versuch einer theoretischen Klärung";0;0;0;0;321;Druckerzeugnis;"Dissertation der Hochschule St. Gallen, Nr. 571";Haupt-Bibliothek;"AG 230";"St. Gallen";"ok Organisation Kolb";1975;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;HSB01duplicate;0991189;0139255;0;0
"Funk Philip";0;0;"Der Begriff der Gewinnungskosten nach schweizerischem Einkommenssteuerrecht";0;0;0;"3 7253 0350 9";267;Druckerzeugnis;"St.Galler Dissertation Reihe Öffentliche Finanzen, Bd. 5";Haupt-Bibliothek;"PC 404";Chur;Rüegger;1989;PC;0;0;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommensteuer allgemein";0;bestcase;0016875
"Stadie Holger";0;0;UStG;Kommentar;0;0;978-3-504-24327-2;1396;Druckerzeugnis;"1. A.";"HB Steuerrecht";"QB 379";Köln;"Otto Schmidt Verlag";2009;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0;replacefromSwissbib;0991205;292450508;0;0
"Denison E. F.";0;0;"An Aspect of Unequal Opportunity";0;0;0;0;7-;Druckerzeugnis;0;Separata;"AG Sep. 40 a";0;0;1971;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;leave;0991212
"Staringer Claus";0;0;"Besteuerung doppelt ansässiger Kapitalgesellschaften";0;0;0;3-85122-940-1;462;Druckerzeugnis;0;Haupt-Bibliothek;"KD 115";Wien;Linde;1999;KD;0;0;"Ausländisches Steuerrecht";Oesterreich;0;reimportFromSwissbib;0991219;32419238X;0;0
"Fischer Lutz";0;0;"Internationaler Unternehmenskauf und -zusammenschluss im Steuerrecht";0;0;0;3-504-61500-1;149;Druckerzeugnis;"mit den Auswirkungen des Steueränderungsgesetzes 1992- Forum der Internationalen Besteuerung, Bd. 1";Haupt-Bibliothek;"LC 6117";Köln;"Otto Schmidt";1992;LC;0;0;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;bestcase;0064198
"Dellmann K.";0;0;"Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung";0;0;0;-;"Mai 25";Druckerzeugnis;"In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung";Haupt-Bibliothek;;;;;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";leave;0991230
"Kaufman Herbert";0;0;"Are Government Organizations Immortal?";0;0;0;0-8157-4839-6;79;Druckerzeugnis;0;Haupt-Bibliothek;"EA 148";Washington;"Brookings Institution";1976;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;bestcase;0132526
IFSt;0;0;"IFSt-Brief 216";0;0;0;-;73;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 216";Bonn;"Institut Finanzen und Steuern";1982;Z;0;0;Zeitschriften;0;0;journal
"Schmid Hans";0;0;"Die staatliche Beschaffungspolitik";0;0;0;3.258.01612.7;276;Druckerzeugnis;"Ein Beitrag zu den Einkaufsverfahren der öffentlichen Hand";Haupt-Bibliothek;"BB 118";Bern;"Paul Haupt";1972;YL1;YR;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines;bestcase;0204661
"Jarzyk-Dehne Friederike";0;0;"Pauschalierungen im Steuerrecht";0;0;0;3-428-11081-1;294;Druckerzeugnis;"Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke";Haupt-Bibliothek;"KB 219";Berlin;"Duncker & Humblot";2003;KB;0;0;"Ausländisches Steuerrecht";Deutschland;0;reimportFromSwissbib;0991259;515926612;"Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke"
"Dézsy Josef M.";0;0;"Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus";0;0;0;0;50-59;Druckerzeugnis;"Das Krankenhaus 2/1988";Separata;"X Sep. 06";0;0;1988;YX;0;0;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;leave;0991264
"Caiden Gerald E.";0;0;"Administrative Reform Comes of Age";0;0;0;"3.11.012645.1 Pb. 3.11.012895.0 Gewebe";316;Druckerzeugnis;0;Haupt-Bibliothek;"EG 178";Berlin;"de Gruyter";1991;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;HSB01duplicate;0991271;0071625;0;0
"Känzig Ernst";0;0;"Die Eidgenössische Wehrsteuer";0;0;0;-;707;Druckerzeugnis;0;"HB Steuerrecht";"JC 101";Basel;"Verlag für Recht und Gesellschaft";1962;JC;0;0;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;bestcase;0052397
"Grossmann Benno";0;0;"Die Besteuerung der Gewinne auf Geschäftsgrundstücken";0;0;0;-;407;Druckerzeugnis;"Dissertation Nr. 656 der HSG";Haupt-Bibliothek;"PE 0530 1";Romanshorn;"Gerhard Ströbele, Offset- und Buchdruck";1977;PE;0;0;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;bestcase;0099399
"Saile Peter";0;0;"Das Recht der Ausgabenbewilligung der zürcherischen Gemeinden";0;0;0;0;214;Druckerzeugnis;0;Haupt-Bibliothek;"GB 111";"St. Gallen";"Schweiz. Institut für Verwaltungskurse";1991;GB;0;0;Finanzrecht;Finanzreferendum;0;bestcase;0041490
"Walter Philip";0;0;"Die steuerliche Gewinnberichtigung bei den Partnerwerken der Elektrizitätswirtschaft nach Art. 58 Abs. 3 DGB";0;0;0;"3 258 05417 7";304;Druckerzeugnis;0;Haupt-Bibliothek;"PN 107";Bern;"Paul Haupt";1996;PN;0;0;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;HSB01duplicate;0991304;0139119;0;0
"Ufer Jörg";0;0;"Die demokratischen Grundlagen der funktionalen Finanzwirtschaften";0;0;0;-;105;Druckerzeugnis;0;Haupt-Bibliothek;"AC 116";Berlin;"Duncker & Humblot";1966;YL1;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;bestcase;0358474
"Känzig Ernst";0;0;"Die steuerrechtliche Behandlung der Veräusserung von Unternehmungen und Unternehmungsanteilen";0;0;0;0;87-107;Druckerzeugnis;"In: diverse, (Hrsg.): Festschrift für Irene Blumenstein - Überreicht zum 70. Geburtstag am 23. April 1966";Haupt-Bibliothek;;Bern;Genossenschaftsbuchdruckerei;;PK;0;0;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;replacefromSwissbib;0991319;103683313;0;0
"Kaldor Nicholas";0;0;"The income burden of capital taxes";0;0;0;0;0;Druckerzeugnis;"in. Chapman/S. J./Young Allyn A./andere: Readings in the Economics of Taxation";Haupt-Bibliothek;;London;"George Allen & Unwin";;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";leave;0991328
"Friedmann Lewis B.";0;0;"Budgeting Municipal Expenditures";0;0;0;0-275-09630-0;245;Druckerzeugnis;"A Study in Comparative Policy Making";Haupt-Bibliothek;"VB 149";London;Praeger;1975;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";leave;0991336
"Klein Friedrich";"Barbey Günther";0;"Bundesverfassungsgericht und Rückwirkung von Gesetzen";0;0;0;-;138;Druckerzeugnis;"Institut 'Finanzen und Steuern', Heft 72";Haupt-Bibliothek;"JD 101";Bonn;Stollfuss;1964;JD;0;0;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;bestcase;0358903
Prognos;0;0;"Beurteilung der Einflüsse von Energiepreisänderungen auf die Energienachfrage und ihre prognostischen und energiepolitischen Konsequenzen";0;0;0;0;153;Druckerzeugnis;"Studie der Prognos AG im Auftrag des Eidg. Amtes für Energiewirtschaft";Haupt-Bibliothek;"AG 305";Basel;Prognos;1977;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;leave;0991349
OECD;0;0;"Bildung Kompakt";0;0;0;92-64-54405-4;371;Druckerzeugnis;OECD-Indikatoren;Haupt-Bibliothek;"EJ 148";Paris;OECD;1995;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;replacefromSwissbib;0991357;124948510;0;0
"Statistisches Bureau des Kantons Bern";0;0;"Aufgaben der Finanzkontrolle";0;0;0;0;30;Druckerzeugnis;0;Separata;"VE Sep. 04";Bern;"Statistisches Bureau des Kanton Bern";1969;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";replacefromSwissbib;0991363;115749039;0;0
"Giroud Charles";"Purtschert Robert";"Schwarz Peter";"Das Freiburger Management-Modell für Nonprofit-Organisationen (NPO)";0;0;0;3-258--05110-0;166;Druckerzeugnis;0;Haupt-Bibliothek;"EF 208";Bern;"Paul Haupt";1995;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;HSB01duplicate;0991371;0081355;0;0
Nigro;"Lloyd G.";Richardson;Foundations;0;0;0;0-934540-86-1;"Mär 21";Druckerzeugnis;"In: Ingraham-Patricia W.- Kettl-Donald F.: Agenda for Excellence: Public Service in America The Founder's Unsentimental View of Public Service in the American Regime";Haupt-Bibliothek;;Chatham;"Chatham House";;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;leave;0991380
IFSt;0;0;"IFSt-Heft 059";"Bd. 1";0;0;-;91;Druckerzeugnis;0;Haupt-Bibliothek;"Z 152 059.1";Bonn;Stollfuss;1959;Z;0;0;Zeitschriften;0;0;journal
"Weinsheimer Willi";0;0;"Die Auslegung gegen den Wortlaut im Steuerrecht";0;0;0;0;94;Druckerzeugnis;0;Haupt-Bibliothek;"JD 317";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1958;JD;0;0;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;replacefromSwissbib;0991394;075995654;0;0
"Friedrich-Wilhelm Behmenburg";0;0;"Die langfristige Investitionsplanung der Gemeinden";0;0;0;0;97;Druckerzeugnis;0;Haupt-Bibliothek;"EC 107";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1962;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";HSB01duplicate;0991401;0359398;0;0
"Feurer P.";0;0;"Der Euromarkt-seine Risiken und seine Rückwirkungen auf die schweizerische Wirtschaft";0;0;0;0;10-;Druckerzeugnis;"Referat gehalten an der GV des Schweiz. Bankvereins, Bulletin Nr. 1, 1970";Separata;"AK Sep. 324";Basel;"Schweizerischer Bankverein";1970;YM;0;0;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;reimportFromSwissbib;0991406;515922684;0;0
"Krause-Junk Gerold";0;0;"Automatismen versus Autonomie";0;0;0;-;59-111;Druckerzeugnis;"In: Geyer Herbert/andere: Budgetpolitik im Wandel";Haupt-Bibliothek;;;;;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";leave;0991413
"Wilk Stefan";0;0;"Die einkommensteuerrechtliche Behandlung von Auslandsverlusten";0;0;0;3-428-10040-9;282;Druckerzeugnis;"Eine systematisch-methodische, verfassungs- und europarechtliche Untersuchung";Haupt-Bibliothek;"KB 163";Berlin;"Duncker & Humblot";2000;KB;0;0;"Ausländisches Steuerrecht";Deutschland;0;reimportFromSwissbib;0991420;281395217;0;0
"Ebner Fritz";0;0;"Die gesamtwirtschaftliche Förderung von Berggebieten";0;0;0;0;10;Druckerzeugnis;0;Separata;"AG Sep. 67";Zürich;"Gesellschaft zur Förderung der schweizerischen Wirtschaft";1973;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;replacefromSwissbib;0991427;17153588X;0;0
"Stauffer Hans-Ulrich";0;0;"Die berufliche Vorsorge BVG / FZG / ZGB / OR";0;0;0;"3 7255 3514 0";231;Druckerzeugnis;0;Haupt-Bibliothek;"WB 237";Zürich;Schulthess;1996;WB;0;0;"Uebrige Literatur";"Oeffentliches Recht";0;HSB01duplicate;0991434;0119766;0;0
"Bürgisser-Peters Petra";0;0;"Staatliche Altersvorsorge";"Solidarität in jeder Hinsicht?";0;0;3.7190.1040.6;207-234;Druckerzeugnis;"In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe";Haupt-Bibliothek;;Basel;"Helbing & Lichtenhahn";1988;YX;0;0;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;replacefromSwissbib;0991443;350144494;0;0
"Brainin Josef";0;0;"Bürger Client Server Justiz";;;;0;56;Druckerzeugnis;"Informationstechnik als Antrieb der Erneuerung";Haupt-Bibliothek;"EA 286";Wien;"Bundesministerium für Justiz";1997;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;leave;0991451
"Giger Markus";0;0;"Die Regionalisierung des öffentlichen Verkehrs";0;0;0;0;195;Druckerzeugnis;"Dissertation HSG, Nr. 1240";Haupt-Bibliothek;"AJ 359";Bern;"Paul Haupt";1991;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;HSB01duplicate;0991458;0034822;0;0
"Gutting Bernd";0;0;"Der Einfluss der Besteuerung auf die Entwicklung der Wohnungs- und Baulandmärkte";0;0;0;3.8204.9506.1;298;Druckerzeugnis;0;Haupt-Bibliothek;"AJ 336";Frankfurt;"Peter Lang";1986;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;HSB01duplicate;0991465;0204778;0;0
"Recktenwald Horst Claus";0;0;"Das Kapitalbudget in finanz- und volkswirtschaftlicher Sicht";0;0;0;0;41;Druckerzeugnis;"Recht und Staat";Haupt-Bibliothek;"VB 107";Tübingen;"J.C.B. Mohr";1962;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";bestcase;0295395
"Dällenbach Jean-François";"Fiala Eduard";"Hagemann Susanne";"Die Dienstleistungsfunktion der Hochschulen";"Eine Entdeckungsreise";0;0;"Form 320.301d 1.87 A36093";325;Druckerzeugnis;0;Haupt-Bibliothek;"EF 174";Bern;EDMZ;1986;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;reimportFromSwissbib;0991476;403874807;0;0
"Maass Jürgen";0;0;"Die Flexibilität der Staatsausgaben";0;0;0;3-531-02305-5;256;Druckerzeugnis;"Ein Beitrag zur Theorie der öffentlichen Ausgabenpolitik - Forschungsberichte des Landes Nordrhein-Westfalen Nr. 2305";Haupt-Bibliothek;"BF 112 2";Opladen;"Westdeutscher Verlag";1973;BF;YL2;0;0;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";replacefromSwissbib;0991195;28329518X;0;0
"Elektrowatt AG";0;0;"Die Umweltbelastung im Energiebereich";0;0;0;0;"55 + Anhang";Druckerzeugnis;0;Haupt-Bibliothek;"AG 306";0;0;1976;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;leave;0991489
"Parsche Rüdiger";"Seidel Bernhard";;"Die Beseitigung von Steuergrenzen in der Europäischen Gemeinschaft";0;0;0;3.428.06387.2;461;Druckerzeugnis;"Vorteile und Probleme einer Harmonisierung von Mehrwertsteuer und Verbrauchsteuern im europäischen Binnenmarkt";Haupt-Bibliothek;"AK 1200";Berlin;"Duncker & Humblot";1988;YC;0;0;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;HSB01duplicate;0991497;0009980;0;0
"Nitzan Shmuel";"Paroush Jacob";0;"Collective Decision Making";0;0;0;0-521-30326-5;125;Druckerzeugnis;"An Economic Outlook";Haupt-Bibliothek;"AK 1134";Cambridge;"Cambridge University Press";1985;YC;0;0;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;HSB01duplicate;0991503;0201940;0;0
"Morandi Sandra";0;0;"Die Begrenzung der Steuerlast durch verfassungsrechtliche Bindungen des schweizerischen Steuergesetzgebers";0;0;0;-;235;Druckerzeugnis;"Diss. Nr. 2070 der HSG";Haupt-Bibliothek;"JD 145";Bamberg;Difo-Druck;1997;JD;0;0;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;bestcase;0153723
"Walcher Frank";0;0;"Das Planungs- und Steuerungssystem der staatlichen Verkehrspolitik zur Regulierung der Verkehrsmärkte";0;0;0;3.428.04183.6;176;Druckerzeugnis;"Zur Legitimation und Effizienz verkehrspolitischer Massnahmen in einer Marktwirtschaft";Haupt-Bibliothek;"AJ 271";Berlin;"Duncker & Humblot";1978;YY;0;0;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;HSB01duplicate;0991517;0328328;0;0
"Hamermesh Daniel S.";0;0;"Subsidies for Jobs in the Private Sector";0;0;0;0.8157.6892.3;87-122;Druckerzeugnis;"In: Palmer-John L. (Hrsg.): Creating Jobs - Public Employment Programs and Wage Subsidies";Haupt-Bibliothek;;Washington;"Brookings Institution";1978;YN;0;0;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;leave;0991525
"Flechtheim Ossip K.";0;0;"Zeitschrift für Zukunftsforschung 'Futurum'";0;0;0;0;102-;Druckerzeugnis;0;Haupt-Bibliothek;"VB 122";Meisenheim;"Anton Hain";1969;YL2;0;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";leave;0991535
"Strasser Daniel";0;0;"Die Finanzen Europas";0;0;0;92.825.2746.8;415;Druckerzeugnis;0;Haupt-Bibliothek;"FB 132";Brüssel;EG;1982;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";replacefromSwissbib;0991541;023085495;0;0
"Schädler Reinhard";0;0;"Demokratische Tendenzen in der Pflege der Verwaltungswissenschaft";0;0;0;"3 428 02637 3";159-179;Druckerzeugnis;"In: Knöpfle Franz- und diverse andere: Demokratie und Verwaltung";Haupt-Bibliothek;;Berlin;"Duncker & Humblot";;YQ;0;0;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;leave;0991548
